zone_id,grid_row,grid_col,center_lat,center_lon,min_lat,max_lat,min_lon,max_lon,NDVI,NDMI,RED_BLUE_RATIO,SWIR_RATIO,SWIR_NIR_RATIO,NIR_RED_RATIO,ELEVATION_M,SLOPE_DEG,TERRAIN_ROUGHNESS_M,NEAREST_MN_SITE,DISTANCE_TO_MN_KM,SPECTRAL_SCORE,TERRAIN_SCORE,MN_PROXIMITY_SCORE,PROSPECTIVITY_SCORE,PRIORITY,RECOMMENDATION
ZONE_007,0,6,21.509,85.503,21.508000000000003,21.51,85.502,85.504,0.4671313762664795,0.16223160922527313,1.0506914854049683,1.441084384918213,0.7268393635749817,2.7919721603393555,775.0,16.163894653320312,30.456253051757812,Orissa Deposits,21.832,0.6108766587130289,0.8789271253921555,0.824070666175929,75.53,HIGH,"Prioritize detailed geological mapping, ground validation, and targeted sampling."
ZONE_010,0,9,21.509,85.50900000000001,21.508000000000003,21.51,85.50800000000001,85.51,0.4729863405227661,0.19620364904403687,1.036490559577942,1.4361677169799805,0.673853874206543,2.8055999279022217,736.0,11.032551765441895,21.35854721069336,Orissa Deposits,21.354,0.6062205938673766,0.639193513862598,1.0,73.42,HIGH,"Prioritize detailed geological mapping, ground validation, and targeted sampling."
ZONE_040,3,9,21.503,85.50900000000001,21.502,21.504,85.50800000000001,85.51,0.4611019492149353,0.16082507371902466,1.0423839092254639,1.4359196424484253,0.7248089909553528,2.720712661743164,692.0,15.732837677001953,40.72945785522461,Orissa Deposits,21.79,0.5877655206418892,0.8166496365910504,0.8395288921604712,73.2,HIGH,"Prioritize detailed geological mapping, ground validation, and targeted sampling."
ZONE_020,1,9,21.507,85.50900000000001,21.506,21.508000000000003,85.50800000000001,85.51,0.47040143609046936,0.16759969294071198,1.0510362386703491,1.4371403455734253,0.717261552810669,2.799858808517456,742.0,12.27213191986084,21.35155487060547,Orissa Deposits,21.498,0.6105003292688882,0.6732798232800111,0.947000368052999,73.03,HIGH,"Prioritize detailed geological mapping, ground validation, and targeted sampling."
ZONE_017,1,6,21.507,85.503,21.506,21.508000000000003,85.502,85.504,0.4630407691001892,0.15818780660629272,1.0539671182632446,1.4358049631118774,0.7302063703536987,2.74538254737854,712.0,17.11385726928711,38.824710845947266,Orissa Deposits,21.973,0.5986455339312807,0.8612235052036562,0.7721751932278251,72.95,HIGH,"Prioritize detailed geological mapping, ground validation, and targeted sampling."
ZONE_006,0,5,21.509,85.501,21.508000000000003,21.51,85.5,85.502,0.49958425760269165,0.21287333965301514,1.0254014730453491,1.4611728191375732,0.6502458453178406,3.0064761638641357,735.0,12.804558753967285,32.31829833984375,Orissa Deposits,21.993,0.664485948922746,0.762136445198339,0.7648141332351863,72.39,HIGH,"Prioritize detailed geological mapping, ground validation, and targeted sampling."
ZONE_029,2,8,21.505000000000003,85.507,21.504,21.506,85.506,85.50800000000001,0.4827439486980438,0.17783385515213013,1.0339651107788086,1.4569112062454224,0.7015616297721863,2.885688543319702,690.0,11.068277359008789,37.63994598388672,Orissa Deposits,21.8,0.6370056279582575,0.6970652439733612,0.8358483621641513,71.47,HIGH,"Prioritize detailed geological mapping, ground validation, and targeted sampling."
ZONE_030,2,9,21.505000000000003,85.50900000000001,21.504,21.506,85.50800000000001,85.51,0.44526007771492004,0.13551266491413116,1.0778357982635498,1.4037245512008667,0.766951858997345,2.6321070194244385,731.0,12.819906234741211,28.620603561401367,Orissa Deposits,21.644,0.5581080898860585,0.7253715084870613,0.8932646301067357,70.88,HIGH,"Prioritize detailed geological mapping, ground validation, and targeted sampling."
ZONE_039,3,8,21.503,85.507,21.502,21.504,85.506,85.50800000000001,0.46072569489479065,0.14907531440258026,1.0494215488433838,1.440902590751648,0.7440323829650879,2.7276451587677,655.0,15.128084182739258,42.255836486816406,Orissa Deposits,21.946,0.5962163415126916,0.7557516670938721,0.7821126242178867,69.98,HIGH,"Prioritize detailed geological mapping, ground validation, and targeted sampling."
ZONE_019,1,8,21.507,85.507,21.506,21.508000000000003,85.506,85.50800000000001,0.487028568983078,0.1762964129447937,1.0452640056610107,1.4637267589569092,0.703852117061615,2.922694683074951,697.0,8.545150756835938,25.90629005432129,Orissa Deposits,21.656,0.6563795664810553,0.563130513313922,0.8888479941111522,69.81,HIGH,"Prioritize detailed geological mapping, ground validation, and targeted sampling."
